category_grouped,customer_state,state_share
bed_bath_table,RS,0.058453999423680375
bed_bath_table,SC,0.03012956543087177
bed_bath_table,SE,0.0019206137496305545
bed_bath_table,SP,0.44702797914275794
bed_bath_table,TO,0.001128887616892863
books_general_interest,AC,0.01351515782998138
books_general_interest,AL,0.0029058543857758547
books_general_interest,AM,0.002045891339208677
books_general_interest,BA,0.02363881409311723
books_general_interest,CE,0.03159275861158431
books_general_interest,DF,0.029009657991625887
books_general_interest,ES,0.032209184405337335
books_general_interest,GO,0.043085397542004376
books_general_interest,MA,0.007058655189074116
books_general_interest,MG,0.09738635463448715
books_general_interest,MS,0.004693756811014378
books_general_interest,MT,0.001573268494736384
books_general_interest,PA,0.004649688165267056
books_general_interest,PB,0.005548010559347084
books_general_interest,PE,0.012985798834304034
books_general_interest,PI,0.0028437657674759836
books_general_interest,PR,0.06474790236814554
books_general_interest,RJ,0.09260321162298935
books_general_interest,RN,0.03078792597609374
books_general_interest,RO,0.0012071597454509381
books_general_interest,RS,0.05447098713052812
books_general_interest,SC,0.04051692699877178
books_general_interest,SE,0.00278952743424851
books_general_interest,SP,0.39727794933426014
books_general_interest,TO,0.0008563947351706332
books_imported,BA,0.017372497550695972
books_imported,MA,0.14879937889346914
books_imported,MG,0.08747804869031556
books_imported,PA,0.031188420799674658
books_imported,PR,0.02878163299258739
books_imported,RJ,0.109995008965377
books_imported,RS,0.03175591992162227
books_imported,SC,0.007427398931548885
books_imported,SE,0.015649666340092797
books_imported,SP,0.5215520269146163
books_technical,BA,0.039409808278247846
books_technical,CE,0.015122222183707637
books_technical,DF,0.03302182737069787
books_technical,ES,0.059857153256080785
books_technical,GO,0.010608649836563358
books_technical,MA,0.010315746418432465
books_technical,MG,0.10554012083565865
books_technical,MS,0.010140264341001973
books_technical,MT,0.018046056896055686
books_technical,PA,0.00923469016364462
books_technical,PE,0.017745787563563507
books_technical,PI,0.006477238458045486
books_technical,PR,0.08850796038697915
books_technical,RJ,0.09325637541552423
books_technical,RN,0.004366254059918681
books_technical,RS,0.049374157252739255
books_technical,SC,0.050252000928971786
books_technical,SP,0.3675513274244257
books_technical,TO,0.01117235892974131
christmas_supplies,AC,0.010876865733675143
christmas_supplies,BA,0.08372734436564223
christmas_supplies,CE,0.019858488527130236
christmas_supplies,DF,0.04092394755829534
christmas_supplies,ES,0.013414662530382072
christmas_supplies,GO,0.03935538465119216
christmas_supplies,MA,0.012906770672279246
christmas_supplies,MG,0.13807592941716293
christmas_supplies,MS,0.0056932100427925895
christmas_supplies,MT,0.00910215359447786
christmas_supplies,PA,0.07744062403367548
christmas_supplies,PE,0.044072710829152165
christmas_supplies,PR,0.024094522747902764
christmas_supplies,RJ,0.07512061392571312
christmas_supplies,RN,0.004487070785661323
christmas_supplies,RO,0.017790346230960288
christmas_supplies,RS,0.05157637662799706
christmas_supplies,SC,0.09914697442752025
christmas_supplies,SP,0.23233600329838772
cine_photo,BA,0.04688717236124577
cine_photo,DF,0.014436496753222967
cine_photo,ES,0.013512160455989627
cine_photo,GO,0.015557422408256265
cine_photo,MA,0.008870942139234108
cine_photo,MG,0.07716925977391004
cine_photo,MT,0.08828205322321073
cine_photo,PA,0.03843138787202399
cine_photo,PE,0.008405721360837936
cine_photo,PR,0.041041996859454484
cine_photo,RJ,0.07653553383168532
cine_photo,RS,0.12700405145024335
cine_photo,SC,0.14818441791234316
cine_photo,SP,0.29568138359834234
computers,AC,0.005376731377735762
computers,AL,0.00904800325327257
computers,AM,0.005948210440205975
computers,AP,0.006367799096415314
computers,BA,0.09449963000338961
computers,CE,0.03195703700820917
computers,DF,0.047656559983845326
computers,ES,0.035883764835678504
computers,GO,0.01635210189303299
computers,MA,0.03002043432838302
computers,MG,0.09382858025038979
computers,MS,0.002966845752156696
computers,MT,0.012865323596367913
computers,PA,0.01548298464476481
computers,PB,0.03165510327924772
computers,PE,0.04392231544553181
computers,PI,0.010977561242310602
computers,PR,0.029887616133768023
computers,RJ,0.10529656365567562
computers,RO,0.011190405406061346
computers,RS,0.03886710547358299
computers,SC,0.027173219453329418
computers,SE,0.010947578351029469
computers,SP,0.2765114588124206
computers,TO,0.005317066283194938
computers_accessories,AC,0.0014844769804538843
computers_accessories,AL,0.008423504043223897
computers_accessories,AM,0.0030392448452310535
computers_accessories,AP,0.0022946724046093575
computers_accessories,BA,0.037757137349449285
computers_accessories,CE,0.014263536322931876
computers_accessories,DF,0.02668039661903852
computers_accessories,ES,0.01698494126752366
computers_accessories,GO,0.015862024666934715
computers_accessories,MA,0.014164618151674148
computers_accessories,MG,0.12167699586077421
